股票代码,股票名称,市场板块,所属级别,形态名称,形态英文,信号方向,出现日期,信号强度,放量倍数,现价,涨跌幅%,近一年涨停次数,多级别共振
300683,海特生物,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,100,1.48,30.65,5.07,1,否
601658,邮储银行,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.1,5.18,5.07,0,是
000718,苏宁环球,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,87.4,0.59,1.87,5.06,5,否
301109,军信股份,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.62,14.13,5.06,0,是
000728,国元证券,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.24,7.49,5.05,0,是
002052,同洲电子,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-24,100,0.97,8.32,5.05,11,否
300406,九强生物,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,86.9,1.07,11.64,5.05,0,否
600470,六国化工,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,92.7,0.47,5.41,5.05,11,否
601208,东材科技,上证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,94,1.48,47.67,5.05,20,是
002441,众业达,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.56,7.92,5.04,1,是
000030,富奥股份,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-17,89.7,0.85,4.18,5.03,1,否
002026,山东威达,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,86.7,0.75,9.82,5.03,0,否
002957,科瑞技术,深证,日线,启明星,Morning Star,看涨,2026-08-12,100,1.4,40.75,5.03,17,是
300311,任子行,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.5,5.43,5.03,1,是
600085,同仁堂,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.23,26.32,5.03,0,是
601033,永兴股份,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-17,100,0.94,14,5.03,0,是
603967,中创物流,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.73,11.49,5.03,2,是
688071,华依科技,科创,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,100,1.07,37.98,5.03,0,是
600908,无锡银行,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.54,5.65,5.02,0,否
000790,华神科技,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,98.6,0.7,3.77,5.01,1,否
001356,富岭股份,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-17,92.5,0.99,8.81,5.01,0,否
